userID,tags
0,"AOR, rock, soft rock, 70s, pop rock"
0,"AOR, rock, soft rock, 70s, pop rock"
0,"jazz, female vocal, vocal jazz, blues, female vocalists"
0,"Ballad, romantic, soul, pop, cool"
0,"country, rock, contemporary country, seen live, male"
0,"soul, female vocalists, Disco, pop, love songs"
0,"Kylie Minogue, pop, dance, fun, kylie"
0,"country, soft"
0,"I like it a lot, I just love this song"
0,"country, 1998, modern country, contemporary country, new traditionalist"
0,"Love Metal, rock, Gothic, finnish, Gothic Rock"
0,"rock, alternative, alternative rock, hard rock, Violent Femmes"
0,"metal, black metal, solo, a favorite"
0,"Dylan, christian rock, Dead, preachy, change your life"
0,"rock, alternative rock, alternative, Garage Rock, indie rock"
0,"soul, female vocalists, pop, british, Adele"
0,"1959, male vocalists, 50s, Mr como"
0,"thrash metal, heavy metal, Overkill, metal, thrash"
0,"new wave, synth pop, synthpop, new romantic, eclectonia"
0,"rock, pop rock, pop, alternative, 90s"
0,"celtic, folk, new age, Great Big Sea, Canadian"
0,"celtic, folk, new age, Great Big Sea, Canadian"
0,"jazz, 1307fh"
0,"blues, jazz, female vocalists, jazz vocals, soul"
0,"rock, classic rock, blues rock, grateful dead, 60s"
0,"punk, mod, british, new wave, rock"
0,"You and I, first person songs, the word you, contraction songs, the word got"
0,"oldies, 60s, Cliff Richard, pop, living doll"
0,country
0,"pop, swedish, dance, 90s, eurodance"
0,"The Beatles, more cowbell, brit pop soft, folk, singer-songwriter"
0,"The Beatles, more cowbell, brit pop soft, folk, singer-songwriter"
0,"heard on Pandora, Soundtrack, indie, travis, pop"
0,"Xscape, rnb, 90s Rnb"
0,"theo73 loves this music, alternative, indie, pop, Awesome"
0,"love at first listen, british, amazing, olly, in love with this song"
0,"60s, Progressive rock, classic rock, rock, 70s"
0,"Mellow, pop, 80s, female vocalists, singer-songwriter"
0,"country, seen live, male, beautiful, great song"
0,"country, 70s, folk-rock, country-rock, progressive country"
0,"Disco, 70s, pop, soul, catchy"
0,"pop, katy perry, female vocalists, dance, teenage dream"
0,"classic rock, blues rock, rock, 70s, blues"
0,"country, Love, 90s, love songs, Country faves"
0,blues
0,"trap, Hip-Hop, hip hop, rap, hiphop"
0,eclectonia
0,"hard rock, heavy metal, rock, scorpions, metal"
0,"hard rock, rock, Def Leppard, 90s, heard on Pandora"
0,"country, folk, singer-songwriter, rock, male"
0,"country, folk, singer-songwriter, rock, male"
0,"dance, Favorite, nicole"
0,"pop, Justin Timberlake, rnb, Hip-Hop, soul"
0,"pop, olly murs, happy, indie, dancetune"
0,"classic rock, hard rock, Morose Deep dilate Crimson, rock, 70s"
0,"pop, 1998, matraca berg, Soundtrack, female vocalists"
0,"classic rock, rock, 70s, singer-songwriter, george harrison"
0,"pop, soft rock, 90s, rock, sad"
0,"pop, soft rock, 90s, rock, sad"
0,"epic, Favorite, glee, Demi Lovato, Adam lambert"
0,"punk rock, Soundtrack, alternative rock, rock, punk"
0,"80s, pop, female vocalists, Love, latin"
0,"country, male vocals, turning around, 80s, kenny rogers taggradio"
0,"seen live, female, country, Favorite, My Country"
0,"rock, alternative, britpop, Coldplay, alternative rock"
0,"ralph tresvant, onemorenyte"
0,"hip hop, rap, club, bonus track, why on earth is this just a bonus track"
0,"soul, motown, 80s, Love, Stevie Wonder"
0,"pop, easy listening, Celine Dion, 90s, Canadian"
0,"Hip-Hop, electronic, pop, Usher, feat"
0,"punk rock, punk, rock, 90s, The Offspring"
0,"soft pop, female vocalists, Vanessa Williams, pop, 90s"
0,"soft pop, female vocalists, Vanessa Williams, pop, 90s"
0,"indie pop, acoustic, guitar, jazz, alternative"
0,"country, folk, 60s, singer-songwriter, cover"
0,"classic rock, hard rock, melodic rock, rock, 80s"
0,"Xscape, rnb, 90s Rnb"
0,"gospel, Kirk Franklin, inspirational, Kirk Franklin-Fight of My Life, christian"
0,"celtic, folk, irish, females, Ballad"
0,"celtic, folk, irish, females, Ballad"
0,"U2, rock, Soundtrack, classic rock, pop"
0,"rock, Linkin Park, alternative rock, Nu Metal, alternative"
0,"pop, rock, 70s, sexy, UK"
0,"oldies, rock, 60s, vocals, american"
0,"80s, duet, singer-songwriter, paul mccartney, carl perkins"
0,"Psychedelic Rock, classic rock, 60s, psychedelic, rock"
